Id,Technique,Phrase Number,Given Phrase,Typed Phrase,Minimum String Distance Error Rate,Keystrokes Per Character (KSPC) ,Tempo (s),Characters written (including spaces),Words Written,WPM,AWPM,Keystrokes Per Second(KSPS),Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
5,Reverse Crossing,1,THAT AGREEMENT IS RIFE WITH PROBLEMS,THAT AGREEMENT IS RIFE WITH PROBLEMS,0,1.194444444,90.5587723,36,6,4.770382692,4.770382692,0.474829759,5,0,8,3,5,9
5,Reverse Crossing,2,BE PERSISTENT TO WIN A STRIKE,BE PERSISTENT TO WIN A STRIKE,0,1.103448276,62.8953842,29,6,5.532997444,5.532997444,0.508781374,0,0,1,0,4,3
5,Reverse Crossing,3,HAIR GEL IS VERY GREASY,HAIR GEL IS VERY GREASY,0,1.173913043,63.9001748,23,5,4.319237011,4.319237011,0.422534055,2,0,2,1,2,3
5,Reverse Crossing,4,I WILL PUT ON MY GLASSES,I WILL PUT ON MY GLASSES,0,1.833333333,90.6932848,24,6,3.175538306,3.175538306,0.485151686,8,0,1,2,0,6
5,Reverse Crossing,5,ALL TOGETHER IN ONE BIG PILE,ALL TOGETHER IN ONE BIG PILE,0,1.321428571,86.352216,28,6,3.891040851,3.891040851,0.428477713,3,0,3,2,1,5
6,Reverse Crossing,1,SEASONED GOLFERS LOVE THE GAME,SEASONED GOLFERS LOVE THE GAME,0,1.8,97.2950294,30,5,3.700086245,3.700086245,0.555012937,8,0,2,3,1,10
6,Reverse Crossing,2,PREVAILING WIND FROM THE EAST,PREVAILING WIND FROM THE EAST,0,1.413793103,75.6341684,29,5,4.601095079,4.601095079,0.542083041,1,0,1,0,3,4
6,Reverse Crossing,3,PLEASE PROVIDE YOUR DATE OF BIRTH,PLEASE PROVIDE YOUR DATE OF BIRTH,0,1.515151515,112.3821602,33,6,3.523690943,3.523690943,0.444910473,1,1,3,0,3,6
6,Reverse Crossing,4,THIS IS A VERY GOOD IDEA,THIS IS A VERY GOOD IDEA,0,1.083333333,65.2276482,24,6,4.415305594,4.415305594,0.398603977,0,0,2,1,0,4
6,Reverse Crossing,5,ELEPHANTS ARE AFRAID OF MICE,ELEPHANTS ARE AFRAID OF MICE,0,1.714285714,92.0927174,28,5,3.648496966,3.648496966,0.521213852,4,0,3,1,1,5
6,Reverse Crossing,6,EVERY APPLE FROM EVERY TREE,EVERY APPLE FROM EVERY TREE,0,1.148148148,55.6538817,27,5,5.821696351,5.821696351,0.557014157,0,0,3,0,0,5
6,Reverse Crossing,7,IF DIPLOMACY DOES NOT WORK,IF DIPLOMACY DOES NOT WORK,0,1.307692308,53.1281665,26,5,5.872591142,5.872591142,0.639961855,0,0,1,3,0,5
6,Reverse Crossing,8,JUST WHAT THE DOCTOR ORDERED,JUST WHAT THE DOCTOR ORDERED,0,1.035714286,40.5015051,28,5,8.295987993,8.295987993,0.716022773,0,0,0,0,0,5
7,Reverse Crossing,1,THESE BARRACKS ARE BIG ENOUGH,THESE BARRACKS ARE BIG ENOUGH,0,1.75862069,115.5994064,29,5,3.010396081,3.010396081,0.441178736,4,7,9,11,7,19
7,Reverse Crossing,2,WE ACCEPT PERSONAL CHECKS,WE ACCEPT PERSONAL CHECKS,0,1.64,72.3143319,25,4,4.148555233,4.148555233,0.566969215,6,0,1,0,0,5
7,Reverse Crossing,3,ZERO IN ON THE FACTS,ZERO IN ON THE FACTS,0,1.1,57.3596209,20,5,4.184128072,4.184128072,0.383545073,1,0,3,0,0,4
7,Reverse Crossing,4,I SKIMMED THROUGH YOUR PROPOSAL,I SKIMMED THROUGH YOUR PROPOSAL,0,1.161290323,63.6023579,31,5,5.848839764,5.848839764,0.566016751,0,0,2,0,1,4
7,Reverse Crossing,5,EVERY APPLE FROM EVERY TREE,EVERY APPLE FROM EVERY TREE,0,1.185185185,78.1517942,27,5,4.14577814,4.14577814,0.409459569,1,0,4,2,0,4
7,Reverse Crossing,6,KEEP RECEIPTS FOR ALL YOUR EXPENSES,KEEP RECEIPTS FOR ALL YOUR EXPENSES,0,1.257142857,92.3472219,35,6,4.548052355,4.548052355,0.476462628,0,0,0,1,2,6
7,Reverse Crossing,7,DO YOU LIKE TO GO CAMPING,DO YOU LIKE TO GO CAMPING,0,1.16,45.3533163,25,6,6.61473128,6.61473128,0.639424024,0,0,0,0,1,6
7,Reverse Crossing,8,NOT QUITE SO SMART AS YOU THINK,NOT QUITE SO SMART AS YOU THINK,0,1.129032258,73.4249026,31,7,5.066401001,5.066401001,0.476677513,1,0,4,0,0,6
8,Reverse Crossing,1,THAT IS A VERY ODD QUESTION,THAT IS A VERY ODD QUESTION,0,1.444444444,78.1184305,27,6,4.147548766,4.147548766,0.499241981,6,1,10,7,2,14
8,Reverse Crossing,2,ELEPHANTS ARE AFRAID OF MICE,ELEPHANTS ARE AFRAID OF MICE,0,1.178571429,65.1618369,28,5,5.156392391,5.156392391,0.506431396,0,0,1,0,1,5
8,Reverse Crossing,3,THE PLUG DOES NOT FIT THE SOCKET,THE PLUG DOES NOT FIT THE SOCKET,0,1.5625,112.3396357,32,7,3.418205851,3.418205851,0.445078887,6,0,2,3,1,6
8,Reverse Crossing,4,A RATTLE SNAKE IS VERY POISONOUS,A RATTLE SNAKE IS VERY POISONOUS,0,2.125,119.881486,32,6,3.203163498,3.203163498,0.567226869,9,2,3,1,2,7
8,Reverse Crossing,5,THE IMAGINATION OF THE NATION,THE IMAGINATION OF THE NATION,0,1.034482759,35.2358952,29,5,9.876292287,9.876292287,0.851404508,0,0,0,0,0,5
8,Reverse Crossing,6,HE IS JUST LIKE EVERYONE ELSE,HE IS JUST LIKE EVERYONE ELSE,0,1.068965517,50.6123753,29,6,6.875788736,6.875788736,0.612498422,0,0,1,2,0,4
8,Reverse Crossing,7,MAKE UP A FEW MORE PHRASES,MAKE UP A FEW MORE PHRASES,0,1.346153846,71.9249702,26,6,4.337853726,4.337853726,0.486618206,2,0,3,0,1,5
8,Reverse Crossing,8,ONE HOUR IS ALLOTTED FOR QUESTIONS,ONE HOUR IS ALLOTTED FOR QUESTIONS,0,1.176470588,49.1699617,34,6,8.297748989,8.297748989,0.813504803,1,0,0,0,0,7
9,Reverse Crossing,1,A SECURITY FORCE OF EIGHT THOUSAND,A SECURITY FORCE OF EIGHT THOUSAND,0,1.411764706,99.6334427,34,6,4.09501056,4.09501056,0.481765948,6,1,8,4,0,9
9,Reverse Crossing,2,I LIKE TO PLAY TENNIS,I LIKE TO PLAY TENNIS,0,1.095238095,44.0258062,21,5,5.723915625,5.723915625,0.522420871,0,0,2,1,0,3
9,Reverse Crossing,3,THAT REFERENDUM ASKED A SILLY QUESTION,THAT REFERENDUM ASKED A SILLY QUESTION,0,1.710526316,127.6193776,38,6,3.573125089,3.573125089,0.509327041,9,0,3,2,3,5
9,Reverse Crossing,4,YES YOU ARE VERY SMART,YES YOU ARE VERY SMART,0,1.090909091,56.7647942,22,5,4.650769966,4.650769966,0.42279727,0,0,1,0,0,5
9,Reverse Crossing,5,SHALL WE PLAY A ROUND OF CARDS,SHALL WE PLAY A ROUND OF CARD,0.033333333,1.137931034,74.0289185,29,7,4.700865649,4.544170127,0.445771743,1,0,3,1,0,5
9,Reverse Crossing,6,A COUPON FOR A FREE SAMPLE,A COUPON FOR A FREE SAMPLE,0,1.153846154,66.1585899,26,6,4.7159409,4.7159409,0.453455856,1,0,2,1,2,3
9,Reverse Crossing,7,I WILL PUT ON MY GLASSES,I WILL PUT ON GLASSES,0.125,1.571428571,75.433662,21,5,3.340683633,2.923098179,0.437470476,1,0,5,0,0,5
9,Reverse Crossing,8,PLEASE FOLLOW THE GUIDELINES,PLEASE FOLLOW THE GUIDELINES,0,1.321428571,57.3580664,28,4,5.857938056,5.857938056,0.64507056,1,0,1,0,0,5
10,Reverse Crossing,1,THIS LIBRARY HAS MANY BOOKS,THIS LIBRARY HAS MANY BOOKS,0,1.666666667,80.3233854,27,5,4.033694526,4.033694526,0.560235351,1,4,3,4,2,12
